town_code,town_name,n_covid_areas,n_census_areas,n_matched,covid_only_codes,census_only_codes,matched_codes
6400,הרצלייה,25,30,0,11;12;13;21;22;23;24;32;33;34;35;41;42;43;44;51;52;54;55;56;57;63;64;65;66,111;112;113;121;122;123;124;131;132;133;134;135;211;212;213;214;221;222;224;231;232;233;234;235;311;313;322;323;324;325,
2660,יבנה,8,13,0,2;3;4;5;6;7;8;9,12;13;14;21;22;23;24;25;26;31;32;33;34,
3616,מעלה אדומים,9,12,0,2;3;4;5;6;7;8;9;10,12;13;14;15;21;22;23;24;31;32;33;34,
1309,אלעד,7,12,0,1;2;3;4;5;6;7,11;12;13;15;21;22;23;24;25;31;32;33,
3780,ביתר עילית,7,15,0,1;2;3;4;5;6;7,11;12;13;14;15;16;21;22;23;24;25;31;32;33;34,
1200,מודיעין-מכבים-רעות,16,25,0,11;12;13;15;16;17;21;22;23;24;31;33;34;41;42;43,111;112;113;114;115;121;122;123;211;212;213;214;221;222;223;224;225;311;312;313;321;322;323;331;332,
1161,רהט,11,17,0,1;2;3;4;5;6;7;8;9;10;11,13;14;15;16;17;22;23;24;25;31;32;33;34;35;41;42;43,
3797,מודיעין עילית,7,17,0,2;3;4;5;6;7;8,11;12;13;14;15;16;21;22;31;32;33;34;35;41;42;43;44,
2620,קריית אונו,7,11,0,1;2;3;4;5;6;8,11;13;21;22;23;24;25;31;32;33;34,
6500,חדרה,20,27,0,11;12;13;21;23;24;31;32;41;42;43;44;45;51;52;53;61;62;63;64,111;112;113;114;121;122;131;132;133;134;135;212;213;214;221;222;223;224;225;312;313;314;412;413;414;421;422,
6900,כפר סבא,24,30,0,11;12;13;15;21;22;31;32;33;34;35;36;37;41;42;43;44;45;51;52;53;54;55;56,112;113;114;115;211;212;213;221;222;223;224;311;312;313;321;322;323;324;411;412;413;414;415;421;422;423;424;425;426;427,
2610,בית שמש,19,37,0,12;13;14;15;16;21;22;24;25;26;27;31;32;33;34;35;36;37;38,112;113;121;122;124;125;211;212;213;214;215;221;222;223;224;311;312;313;314;321;322;411;412;413;414;415;416;417;421;422;423;424;426;427;431;432;435,
7800,פרדס חנה-כרכור,9,10,0,1;2;3;5;6;7;8;9;10,11;12;13;21;22;23;31;32;41;42,
8000,צפת,7,10,0,1;2;4;5;6;7;8,12;13;14;15;17;21;22;23;31;33,
246,נתיבות,7,12,0,1;2;4;5;6;7;8,11;12;13;14;15;21;22;23;31;33;34;35,
7200,נס ציונה,9,15,0,1;2;3;4;5;6;7;8;11,12;13;14;15;16;17;18;21;22;24;25;26;27;32;33,
9500,קריית ביאליק,10,12,0,2;3;4;5;6;7;8;9;10;11,12;13;14;21;23;31;32;33;34;35;41;42,
2640,ראש העין,10,19,1,2;3;4;5;6;7;8;9;11,12;14;21;22;23;24;25;26;32;33;34;35;41;42;44;45;48;49,13
2400,אור יהודה,9,13,1,1;2;3;4;5;7;9;10,13;21;22;23;24;25;26;27;31;32;34;35,12
2200,דימונה,7,14,1,2;3;4;5;6;9,14;21;22;31;32;33;34;35;36;41;42;43;44,12
168,כפר יונה,3,7,2,1,4;5;6;7;8,2;3
9200,בית שאן,4,6,2,1;3,5;6;7;9,2;4
229,גני תקווה,3,5,2,1,4;5;6,2;3
2550,גדרה,4,9,3,1,5;6;7;8;9;10,2;3;4
1020,אור עקיבא,5,7,3,1;4,6;7;8;9,2;3;5
1224,כוכב יאיר,3,4,3,,2,1;3;4
166,גן יבנה,3,7,3,,4;5;6;7,1;2;3
3730,גבעת זאב,3,5,3,,1;5,2;3;4
9300,זכרון יעקב,4,6,4,,5;6,1;2;3;4
9800,בנימינה-גבעת עדה,4,5,4,,5,1;2;3;4
2300,קריית טבעון,4,7,4,,5;6;7,1;2;3;4
1304,שוהם,4,6,4,,5;6,1;2;3;4
2560,ערד,5,6,5,,7,1;2;3;5;6
195,קדימה-צורן,5,6,5,,7,1;2;3;4;5
240,יקנעם עילית,5,7,5,,3;8,1;4;5;6;7
681,גבעת שמואל,5,8,5,,6;7;8,1;2;3;4;5
7700,עפולה,11,16,5,11;15;16;18;21;25,14;22;27;32;33;34;42;43;44;45;46,12;13;23;24;26
2100,טירת כרמל,5,8,5,,1;4;8,2;3;5;6;7
1034,קריית מלאכי,6,10,5,7,8;9;10;11;12,2;3;4;5;6
1063,מעלות-תרשיחא,5,6,5,,8,1;3;4;5;6
1015,מבשרת ציון,6,7,6,,7,1;2;3;4;5;6
1031,שדרות,6,9,6,,8;9;10,2;3;4;5;6;7
31,אופקים,6,8,6,,8;10,1;2;3;4;6;7
2800,קריית שמונה,6,9,6,,7;10;11,2;3;4;5;6;8
2500,נשר,6,8,6,,8;9,2;3;4;5;6;7
9400,יהוד,7,9,7,,10;11,1;3;4;5;6;7;8
2600,אילת,12,17,8,33;34;35;36,16;26;32;42;43;44;45;46;47,14;15;21;22;23;24;25;31
6800,קריית אתא,11,14,8,12;24;25,15;16;34;41;42;43,11;13;14;21;22;23;31;32
8200,קריית מוצקין,10,14,9,34,31;41;42;43;44,11;12;13;14;21;22;23;32;33
2650,רמת השרון,11,14,10,36,15;16;25;43,11;13;14;21;22;23;24;31;32;33
9600,קריית ים,10,13,10,,21;23;24,11;12;13;14;22;25;31;32;33;34
6700,טבריה,11,16,11,,14;15;22;33;37,11;12;13;21;23;24;25;31;32;34;36
1061,נצרת עילית,12,15,11,11,13;14;42;51,12;21;22;23;24;31;32;33;34;41;43
9700,הוד השרון,12,16,11,15,25;35;42;43;44,11;12;13;14;21;22;23;24;31;32;33
1139,כרמיאל,12,14,12,,36;37,12;13;14;21;22;23;24;31;32;33;34;35
9100,נהרייה,12,17,12,,15;22;25;26;44,13;14;21;23;24;31;32;33;34;41;42;43
7600,עכו,13,17,13,,25;34;35;36,11;12;13;14;15;21;22;23;24;26;31;32;33
6300,גבעתיים,14,17,14,,14;15;45,11;12;13;21;22;23;31;32;33;34;41;42;43;44
2630,קריית גת,15,19,14,26,13;31;38;41;42,12;14;15;21;22;23;24;25;32;33;34;35;36;37
7300,נצרת,17,23,16,34,14;16;17;18;36;37;38,11;12;13;15;21;22;23;31;32;33;35;41;42;43;44;45
8500,רמלה,20,26,16,11;14;17;18,15;25;36;37;46;51;52;53;54;55,12;13;21;22;23;24;31;32;33;34;35;41;42;43;44;45
7000,לוד,18,25,18,,16;17;26;27;33;43;45,12;13;14;15;21;22;23;24;25;31;32;41;42;44;51;52;53;54
8700,רעננה,22,26,20,27;28,11;37;42;43;44;45,12;13;14;15;16;17;18;19;21;22;23;24;25;26;31;32;33;34;35;36
7100,אשקלון,25,40,20,124;125;126;225;226,222;223;231;232;242;243;244;312;315;325;412;414;415;416;421;422;423;424;425;426,111;112;113;114;121;122;123;211;212;213;214;215;221;311;313;314;316;321;322;323
6100,בני ברק,37,47,23,214;223;231;232;233;321;322;323;415;423;424;425;426;427,124;125;511;512;513;522;523;524;611;612;621;622;623;624;711;712;713;721;722;811;812;813;821;822,112;113;114;115;121;122;123;211;212;213;221;222;311;312;313;314;315;411;412;413;414;421;422
70,אשדוד,48,60,27,231;232;233;234;241;242;243;244;314;315;316;317;331;333;342;343;415;421;424;425;426,132;146;213;214;215;312;313;324;511;512;513;514;521;522;523;524;611;612;613;621;622;623;624;632;633;711;712;713;714;721;722;723;724,122;123;125;126;131;133;141;142;143;144;211;212;221;222;223;311;321;322;323;411;412;413;422;423;432;433;434
8600,רמת גן,39,49,28,131;132;133;134;135;136;137;138;414;416;418,122;124;217;226;411;413;415;421;422;423;511;512;513;514;515;521;522;523;524;525;526,112;113;114;115;116;121;123;125;211;212;213;214;215;216;221;222;223;224;225;311;312;313;314;321;322;324;325;412
8400,רחובות,30,41,30,,113;126;221;223;314;323;422;426;433;434;435,112;114;115;116;117;121;122;123;124;211;212;213;214;222;231;232;311;312;313;321;322;411;412;413;414;421;424;425;431;432
6200,בת ים,37,48,35,215;217,117;118;121;122;211;231;232;233;235;317;414;415;524,111;112;113;114;115;212;213;214;221;222;223;224;225;226;311;312;313;314;315;316;321;322;411;412;413;421;422;423;511;512;513;514;521;522;523
9000,באר שבע,46,67,36,234;311;415;431;432;434;641;642;643;645,113;122;123;133;215;226;321;322;323;424;511;622;624;711;712;713;714;715;721;722;723;724;725;811;812;815;816;821;822;823;824,111;112;121;131;132;211;212;213;214;216;221;222;223;224;225;312;313;411;412;413;414;421;422;423;512;513;521;522;523;611;612;613;614;631;632;633
6600,חולון,49,55,38,414;415;416;423;424;425;426;427;624;625;626,221;222;332;421;431;432;513;631;632;633;711;712;721;722;723;724;725,211;212;213;214;215;216;223;224;225;311;312;313;314;321;322;323;324;331;333;334;335;411;412;413;422;512;514;521;522;523;611;612;613;614;615;621;622;623
7900,פתח תקווה,49,73,39,115;127;131;133;143;144;145;224;235;236,124;213;214;215;411;434;511;514;515;517;611;612;613;614;621;622;626;628;711;712;713;714;715;716;721;722;723;724;811;812;813;814;815;816,112;113;114;121;122;123;211;212;221;222;223;231;232;233;234;311;312;313;321;322;323;324;412;413;414;415;421;422;423;424;431;432;433;512;513;521;522;523;524
7400,נתניה,47,63,39,114;115;341;342;343;351;352;354,111;131;132;134;135;142;143;144;145;325;411;412;432;512;535;611;612;613;621;622;623;631;632;633,112;113;211;212;213;221;222;223;231;232;233;241;242;243;311;312;313;321;322;323;324;331;332;333;334;413;414;421;422;431;511;513;521;522;523;531;532;533;534
8300,ראשון לציון,56,68,46,311;315;511;531;532;533;534;615;616;617,111;131;132;133;217;218;226;321;322;323;324;411;613;625;632;633;712;713;714;721;722;723,113;114;115;116;117;121;122;123;124;125;126;211;212;213;214;215;221;222;223;224;225;312;313;314;412;413;421;422;423;424;425;426;512;513;514;515;516;521;522;523;524;611;612;614;623;624
